commission,entryDt,entryID,entryPrice,exitDt,exitID,exitPrice,pnl,slippage,symbol,turnover,volume
6.1850000000000005,2016-06-07 11:00:00,1,3154.6,2016-06-22 09:30:00,4,3030.4,241.81499999999963,0.4,IF88:CTP,12370.0,-2
12.2728,2016-06-13 09:35:00,2,3106.0,2016-06-22 09:30:00,4,3030.4,289.3271999999996,0.8,IF88:CTP,24545.6,-4
6.2124,2016-06-22 09:30:00,5,3030.4,2016-07-11 09:30:00,7,3182.0,296.58759999999984,0.4,IF88:CTP,12424.8,2
6.3928,2016-07-11 09:30:00,8,3182.0,2016-07-11 11:00:00,10,3210.8,-64.39280000000036,0.4,IF88:CTP,12785.6,-2
6.427200000000001,2016-07-11 11:00:00,11,3210.8,2016-07-11 13:00:00,13,3216.4,4.372799999999817,0.4,IF88:CTP,12854.400000000001,2
6.416399999999999,2016-07-11 13:00:00,14,3216.4,2016-07-12 11:00:00,16,3200.0,25.983600000000184,0.4,IF88:CTP,12832.8,-2
6.401800000000001,2016-07-12 11:00:00,17,3200.0,2016-07-12 13:00:00,19,3201.8,-3.2017999999996367,0.4,IF88:CTP,12803.6,2
6.4316,2016-07-12 13:00:00,20,3201.8,2016-07-12 14:00:00,22,3229.8,-62.8316,0.4,IF88:CTP,12863.2,-2
6.4706,2016-07-12 14:00:00,23,3229.8,2016-07-15 11:00:00,25,3240.8,15.129399999999999,0.4,IF88:CTP,12941.2,2
6.407,2016-07-15 11:00:00,26,3240.8,2016-08-04 09:30:00,28,3166.2,142.3930000000007,0.4,IF88:CTP,12814.0,-2
6.5172,2016-08-04 09:30:00,29,3166.2,2016-08-18 11:00:00,31,3351.0,362.6828000000004,0.4,IF88:CTP,13034.4,2
6.6268,2016-08-18 11:00:00,32,3351.0,2016-09-02 09:30:00,34,3275.8,143.37319999999963,0.4,IF88:CTP,13253.6,-2
6.5278,2016-09-02 09:30:00,35,3275.8,2016-09-12 11:00:00,37,3252.0,-54.52780000000036,0.4,IF88:CTP,13055.6,2
6.484,2016-09-12 11:00:00,38,3252.0,2016-09-26 11:00:00,40,3232.0,33.116,0.4,IF88:CTP,12968.0,-2
6.534,2016-09-26 11:00:00,41,3232.0,2016-10-17 09:30:00,43,3302.0,133.066,0.4,IF88:CTP,13068.0,2
6.6122,2016-10-17 09:30:00,44,3302.0,2016-10-18 14:00:00,46,3310.2,-23.412199999999636,0.4,IF88:CTP,13224.4,-2
6.6404,2016-10-18 14:00:00,47,3310.2,2016-11-01 11:00:00,49,3330.2,32.9596,0.4,IF88:CTP,13280.8,2
6.683,2016-11-01 11:00:00,50,3330.2,2016-11-03 13:00:00,52,3352.8,-52.283000000000726,0.4,IF88:CTP,13366.0,-2
6.771,2016-11-03 13:00:00,53,3352.8,2016-11-21 13:00:00,55,3418.2,123.62899999999927,0.4,IF88:CTP,13542.0,2
6.852799999999999,2016-11-21 13:00:00,56,3418.2,2016-11-22 11:00:00,58,3434.6,-40.05280000000018,0.4,IF88:CTP,13705.599999999999,-2
6.9796000000000005,2016-11-22 11:00:00,59,3434.6,2016-12-02 11:00:00,61,3545.0,213.42040000000017,0.4,IF88:CTP,13959.2,2
6.84,2016-12-02 11:00:00,62,3545.0,2016-12-22 11:00:00,64,3295.0,492.76000000000005,0.4,IF88:CTP,13680.0,-2
6.6406,2016-12-22 11:00:00,65,3295.0,2017-01-11 11:00:00,67,3345.6,94.1593999999998,0.4,IF88:CTP,13281.2,2
6.7097999999999995,2017-01-11 11:00:00,68,3345.6,2017-01-23 11:00:00,70,3364.2,-44.30979999999982,0.4,IF88:CTP,13419.599999999999,-2
6.702799999999999,2017-01-23 11:00:00,71,3364.2,2017-02-08 11:00:00,73,3338.6,-58.30279999999981,0.4,IF88:CTP,13405.599999999999,2
6.7532,2017-02-08 11:00:00,74,3338.6,2017-02-17 11:00:00,76,3414.6,-159.1532,0.4,IF88:CTP,13506.4,-2
6.8176000000000005,2017-02-17 11:00:00,77,3414.6,2017-02-17 13:00:00,79,3403.0,-30.417599999999815,0.4,IF88:CTP,13635.2,2
6.8296,2017-02-17 13:00:00,80,3403.0,2017-02-20 11:00:00,82,3426.6,-54.429599999999816,0.4,IF88:CTP,13659.2,-2
6.8804,2017-02-20 11:00:00,83,3426.6,2017-03-01 11:00:00,85,3453.8,47.119600000000545,0.4,IF88:CTP,13760.8,2
6.895600000000001,2017-03-01 11:00:00,86,3453.8,2017-03-13 13:00:00,88,3441.8,16.7044,0.4,IF88:CTP,13791.2,-2
6.8806,2017-03-13 13:00:00,89,3441.8,2017-03-23 11:00:00,91,3438.8,-13.280600000000002,0.4,IF88:CTP,13761.2,2
6.9476,2017-03-23 11:00:00,92,3438.8,2017-04-05 11:00:00,94,3508.8,-147.3476,0.4,IF88:CTP,13895.2,-2
6.9904,2017-04-05 11:00:00,95,3508.8,2017-04-11 11:00:00,97,3481.6,-61.790400000000545,0.4,IF88:CTP,13980.8,2
6.8836,2017-04-11 11:00:00,98,3481.6,2017-04-27 11:00:00,100,3402.0,151.9163999999998,0.4,IF88:CTP,13767.2,-2
6.7818000000000005,2017-04-27 11:00:00,101,3402.0,2017-05-05 09:30:00,103,3379.8,-51.58179999999964,0.4,IF88:CTP,13563.6,2
6.7214,2017-05-05 09:30:00,104,3379.8,2017-05-12 09:30:00,106,3341.6,69.27860000000054,0.4,IF88:CTP,13442.8,-2
6.823600000000001,2017-05-12 09:30:00,107,3341.6,2017-06-05 09:30:00,109,3482.0,273.5764000000002,0.4,IF88:CTP,13647.2,2
6.994,2017-06-05 09:30:00,110,3482.0,2017-06-07 11:00:00,112,3512.0,-67.394,0.4,IF88:CTP,13988.0,-2
7.082,2017-06-07 11:00:00,113,3512.0,2017-06-14 09:30:00,115,3570.0,108.518,0.4,IF88:CTP,14164.0,2
7.224,2017-06-14 09:30:00,116,3570.0,2017-07-11 11:00:00,118,3654.0,-175.624,0.4,IF88:CTP,14448.0,-2
7.3464,2017-07-11 11:00:00,119,3654.0,2017-07-19 11:00:00,121,3692.4,69.05360000000017,0.4,IF88:CTP,14692.8,2
7.391,2017-07-19 11:00:00,122,3692.4,2017-07-19 13:00:00,124,3698.6,-20.190999999999633,0.4,IF88:CTP,14782.0,-2
7.393,2017-07-19 13:00:00,125,3698.6,2017-07-19 14:00:00,127,3694.4,-16.192999999999635,0.4,IF88:CTP,14786.0,2
7.3553999999999995,2017-07-19 14:00:00,128,3694.4,2017-08-16 11:00:00,130,3661.0,59.04460000000018,0.4,IF88:CTP,14710.8,-2
7.5040000000000004,2017-08-16 11:00:00,131,3661.0,2017-09-01 11:00:00,133,3843.0,356.096,0.4,IF88:CTP,15008.0,2
7.7628,2017-09-01 11:00:00,134,3843.0,2017-10-13 11:00:00,136,3919.8,-161.76280000000037,0.4,IF88:CTP,15525.6,-2
7.8456,2017-10-13 11:00:00,137,3919.8,2017-10-17 13:00:00,139,3925.8,3.7544,0.4,IF88:CTP,15691.2,2
7.858200000000001,2017-10-17 13:00:00,140,3925.8,2017-10-24 13:00:00,142,3932.4,-21.458199999999817,0.4,IF88:CTP,15716.400000000001,-2
7.8644,2017-10-24 13:00:00,143,3932.4,2017-10-24 14:00:00,145,3932.0,-9.064400000000182,0.4,IF88:CTP,15728.8,2
7.8790000000000004,2017-10-24 14:00:00,146,3932.0,2017-10-25 09:30:00,148,3947.0,-38.278999999999996,0.4,IF88:CTP,15758.0,-2
7.944,2017-10-25 09:30:00,149,3947.0,2017-11-01 13:00:00,151,3997.0,91.65599999999999,0.4,IF88:CTP,15888.0,2
8.0054,2017-11-01 13:00:00,152,3997.0,2017-11-07 09:30:00,154,4008.4,-31.205400000000182,0.4,IF88:CTP,16010.8,-2
8.1174,2017-11-07 09:30:00,155,4008.4,2017-11-17 09:30:00,157,4109.0,192.6825999999998,0.4,IF88:CTP,16234.8,2
8.251,2017-11-17 09:30:00,158,4109.0,2017-11-21 09:30:00,160,4142.0,-74.65100000000001,0.4,IF88:CTP,16502.0,-2
8.1628,2017-11-21 09:30:00,161,4142.0,2017-11-28 13:10:00,162,4020.8,-250.96279999999965,0.4,IF88:CTP,16325.6,2
7.9816,2017-12-01 09:30:00,163,3990.0,2017-12-05 09:30:00,165,3991.6,-11.581599999999819,0.4,IF88:CTP,15963.2,-2
8.0204,2017-12-05 09:30:00,166,3991.6,2017-12-19 11:00:00,169,4028.8,65.97960000000054,0.4,IF88:CTP,16040.8,2
16.1356,2017-12-11 10:45:00,167,4039.0,2017-12-19 11:00:00,169,4028.8,-57.735599999999266,0.8,IF88:CTP,32271.2,4
8.116200000000001,2017-12-19 11:00:00,170,4028.8,2017-12-21 13:00:00,172,4087.4,-125.71619999999983,0.4,IF88:CTP,16232.400000000001,-2
8.295399999999999,2017-12-21 13:00:00,173,4087.4,2018-01-12 14:00:00,175,4208.0,232.5045999999998,0.4,IF88:CTP,16590.8,2
8.441,2018-01-12 14:00:00,176,4208.0,2018-01-15 09:30:00,178,4233.0,-58.841,0.4,IF88:CTP,16882.0,-2
8.453,2018-01-15 09:30:00,179,4233.0,2018-01-16 09:30:00,181,4220.0,-34.853,0.4,IF88:CTP,16906.0,2
8.494,2018-01-16 09:30:00,182,4220.0,2018-01-18 11:00:00,184,4274.0,-116.894,0.4,IF88:CTP,16988.0,-2
8.540799999999999,2018-01-18 11:00:00,185,4274.0,2018-01-18 13:00:00,187,4266.8,-23.340799999999632,0.4,IF88:CTP,17081.6,2
0.0,2018-01-18 13:00:00,188,4266.8,2018-01-29 11:17:00,241,4349.47,0.0,0.0,IF88:CTP,0.0,0
8.297,2018-01-18 13:00:00,188,4266.8,2018-03-08 09:30:00,243,4030.2,464.5030000000007,0.4,IF88:CTP,16594.0,-2
8.056799999999999,2018-03-08 09:30:00,244,4030.2,2018-03-20 11:00:00,246,4026.6,-15.656799999999818,0.4,IF88:CTP,16113.599999999999,2
7.8774,2018-03-20 11:00:00,247,4026.6,2018-04-03 11:00:00,249,3850.8,343.32259999999945,0.4,IF88:CTP,15754.8,-2
7.582800000000001,2018-04-03 11:00:00,250,3850.8,2018-04-17 14:55:00,251,3732.0,-245.58280000000036,0.4,IF88:CTP,15165.6,2
7.506600000000001,2018-04-20 11:00:00,252,3774.8,2018-04-20 14:00:00,254,3731.8,-93.90660000000001,0.4,IF88:CTP,15013.2,2
0.0,2018-04-20 14:00:00,255,3731.8,2018-04-26 09:35:00,257,3800.02,0.0,0.0,IF88:CTP,0.0,0
7.487,2018-04-20 14:00:00,255,3731.8,2018-04-26 11:00:00,259,3755.2,-54.68699999999927,0.4,IF88:CTP,14974.0,-2
7.4602,2018-04-26 11:00:00,260,3755.2,2018-04-27 13:00:00,262,3705.0,-108.26019999999964,0.4,IF88:CTP,14920.4,2
7.4638,2018-04-27 13:00:00,263,3705.0,2018-05-03 13:00:00,265,3758.8,-115.46380000000038,0.4,IF88:CTP,14927.6,-2
7.6604,2018-05-03 13:00:00,266,3758.8,2018-05-15 14:00:00,269,3901.6,277.5395999999995,0.4,IF88:CTP,15320.8,2
15.406799999999999,2018-05-03 14:05:00,267,3801.8,2018-05-15 14:00:00,269,3901.6,382.9931999999989,0.8,IF88:CTP,30813.6,4
7.8272,2018-05-15 14:00:00,270,3901.6,2018-05-21 11:00:00,272,3925.6,-56.227199999999996,0.4,IF88:CTP,15654.4,-2
7.8553999999999995,2018-05-21 11:00:00,273,3925.6,2018-05-21 13:00:00,275,3929.8,0.14460000000054618,0.4,IF88:CTP,15710.8,2
7.702200000000001,2018-05-21 13:00:00,276,3929.8,2018-06-04 09:30:00,278,3772.4,306.6978000000002,0.4,IF88:CTP,15404.400000000001,-2
7.585,2018-06-04 09:30:00,279,3772.4,2018-06-12 13:00:00,281,3812.6,72.41499999999964,0.4,IF88:CTP,15170.0,2
7.58,2018-06-12 13:00:00,282,3812.6,2018-06-14 09:30:00,284,3767.4,82.41999999999963,0.4,IF88:CTP,15160.0,-2
7.500200000000001,2018-06-14 09:30:00,285,3767.4,2018-06-15 11:00:00,287,3732.8,-77.10019999999983,0.4,IF88:CTP,15000.400000000001,2
7.1816,2018-06-15 11:00:00,288,3732.8,2018-06-29 13:00:00,290,3448.8,560.4184,0.4,IF88:CTP,14363.2,-2
6.763,2018-06-29 13:00:00,291,3448.8,2018-07-03 11:00:00,292,3314.2,-276.3630000000007,0.4,IF88:CTP,13526.0,2
6.8052,2018-07-04 14:00:00,293,3338.0,2018-07-18 11:00:00,296,3467.2,251.19479999999962,0.4,IF88:CTP,13610.4,2
13.6804,2018-07-06 14:00:00,294,3373.0,2018-07-18 11:00:00,296,3467.2,362.31959999999924,0.8,IF88:CTP,27360.8,4
0.0,2018-07-18 11:00:00,297,3467.2,2018-07-26 14:02:00,356,3529.94,0.0,0.0,IF88:CTP,0.0,0
6.763,2018-07-18 11:00:00,297,3467.2,2018-08-09 09:30:00,358,3295.8,335.6369999999993,0.4,IF88:CTP,13526.0,-2
6.4958,2018-08-09 09:30:00,359,3295.8,2018-08-17 14:50:00,360,3200.0,-198.49580000000037,0.4,IF88:CTP,12991.6,2
6.6478,2018-08-27 11:00:00,361,3358.8,2018-09-03 10:30:00,363,3289.0,-146.64780000000036,0.4,IF88:CTP,13295.6,2
13.367600000000001,2018-08-27 13:25:00,362,3394.8,2018-09-03 10:30:00,363,3289.0,-437.3676000000007,0.8,IF88:CTP,26735.2,4
6.571,2018-09-04 14:00:00,364,3359.0,2018-09-17 11:00:00,367,3212.0,287.029,0.4,IF88:CTP,13142.0,-2
13.062,2018-09-05 11:25:00,365,3319.0,2018-09-17 11:00:00,367,3212.0,414.138,0.8,IF88:CTP,26124.0,-4
6.3870000000000005,2018-09-17 11:00:00,368,3212.0,2018-10-11 11:00:00,370,3175.0,-80.787,0.4,IF88:CTP,12774.0,2
6.279800000000001,2018-10-11 11:00:00,371,3175.0,2018-10-18 09:30:00,373,3104.8,133.72019999999964,0.4,IF88:CTP,12559.6,-2
6.3546000000000005,2018-10-18 09:30:00,374,3104.8,2018-11-13 14:00:00,376,3249.8,283.2454,0.4,IF88:CTP,12709.2,2
6.537,2018-11-13 14:00:00,377,3249.8,2018-11-16 13:00:00,379,3287.2,-81.73699999999928,0.4,IF88:CTP,13074.0,-2
6.4744,2018-11-16 13:00:00,380,3287.2,2018-11-23 10:00:00,381,3187.2,-206.8744,0.4,IF88:CTP,12948.8,2
6.3052,2018-11-23 11:00:00,382,3168.6,2018-11-30 09:30:00,385,3136.6,57.2948,0.4,IF88:CTP,12610.4,-2
12.5436,2018-11-23 13:55:00,383,3135.2,2018-11-30 09:30:00,385,3136.6,-18.943600000000362,0.8,IF88:CTP,25087.199999999997,-4
6.1844,2018-11-30 09:30:00,386,3136.6,2018-12-21 09:45:00,387,3047.8,-184.18439999999947,0.4,IF88:CTP,12368.8,2
6.1292,2018-12-27 09:35:00,389,3038.2,2019-01-15 11:00:00,392,3091.0,99.07080000000036,0.4,IF88:CTP,12258.4,2
6.12605,2018-12-27 09:38:00,388,3035.05,2019-01-15 11:00:00,392,3091.0,105.37394999999962,0.4,IF88:CTP,12252.1,2
12.33,2019-01-09 09:35:00,390,3074.0,2019-01-15 11:00:00,392,3091.0,54.870000000000005,0.8,IF88:CTP,24660.0,4
6.2076,2019-01-15 11:00:00,393,3091.0,2019-01-15 13:00:00,395,3116.6,-57.807599999999816,0.4,IF88:CTP,12415.2,-2
6.286600000000001,2019-01-15 13:00:00,396,3116.6,2019-01-25 09:30:00,398,3170.0,100.11340000000017,0.4,IF88:CTP,12573.2,2
6.3580000000000005,2019-01-25 09:30:00,399,3170.0,2019-01-25 11:00:00,401,3188.0,-42.758,0.4,IF88:CTP,12716.0,-2
6.3806,2019-01-25 11:00:00,402,3188.0,2019-01-25 13:00:00,404,3192.6,2.419399999999818,0.4,IF88:CTP,12761.2,2
6.4104,2019-01-25 13:00:00,405,3192.6,2019-01-31 11:00:00,407,3217.8,-57.21040000000055,0.4,IF88:CTP,12820.8,-2
6.4204,2019-01-31 11:00:00,408,3217.8,2019-01-31 13:00:00,410,3202.6,-37.220400000000545,0.4,IF88:CTP,12840.8,2
6.433,2019-01-31 13:00:00,411,3202.6,2019-02-01 11:00:00,413,3230.4,-62.43300000000036,0.4,IF88:CTP,12866.0,-2
6.6446000000000005,2019-02-01 11:00:00,414,3230.4,2019-02-18 11:00:00,416,3414.2,360.55539999999945,0.4,IF88:CTP,13289.2,2
6.9948,2019-02-18 11:00:00,417,3414.2,2019-02-25 09:35:00,422,3580.6,-340.19480000000016,0.4,IF88:CTP,13989.599999999999,-2
7.378799999999999,2019-02-25 09:35:00,423,3580.6,2019-02-25 14:58:00,LastDay,3798.2,427.4211999999998,0.4,IF88:CTP,14757.599999999999,2
