_number_,CCIshortPeriod,CCIlongPeriod,_status_,annualizedReturn,dailyCommission,dailyNetPnl,dailyReturn,dailySlippage,dailyTradeCount,dailyTurnover,endBalance,endDate,lossDays,maxDdPercent,maxDrawdown,profitDays,returnStd,sharpeRatio,startDate,totalCommission,totalDays,totalNetPnl,totalReturn,totalSlippage,totalTradeCount,totalTurnover
5,16,36,1,0.21067511312217557,0.0,8.778129713423825,0.0008778129713423822,0.0,0.32428355957767724,2515.7087481146305,1005819.9,2019-02-25,302,-0.09516190054865754,-956.8000000000466,345,0.01024742025813524,1.327067665208672,2016-06-03,0.0,663,5819.899999999996,0.58199000000001,0.0,215,1667914.9
10,21,41,1,0.19360723981900163,0.0,8.06696832579186,0.0008066968325791855,0.0,0.3574660633484163,2626.268476621418,1005348.4,2019-02-25,305,-0.10588042035561487,-1064.8000000000466,354,0.009552446726801132,1.3082819459234873,2016-06-03,0.0,663,5348.400000000003,0.534839999999992,0.0,237,1741216.0
7,16,46,1,0.20104615384615385,0.0,8.37692307692307,0.0008376923076923064,0.0,0.30618401206636503,2327.120512820513,1005553.9,2019-02-25,296,-0.10877753817577165,-1091.5999999999767,343,0.010189962047997204,1.2735546380473635,2016-06-03,0.0,663,5553.899999999995,0.55539,0.0,203,1542880.9000000001
9,21,36,1,0.1860633484162868,0.0,7.75263951734541,0.0007752639517345408,0.0,0.37254901960784315,2770.571945701358,1005140.0,2019-02-25,305,-0.1059196427221474,-1064.8000000000466,353,0.009783184840972863,1.2276510861402647,2016-06-03,0.0,663,5140.000000000007,0.5139999999999922,0.0,247,1836889.2000000002
11,21,46,1,0.1990805429864271,0.0,8.295022624434399,0.0008295022624434389,0.0,0.36199095022624433,2653.771342383107,1005499.6,2019-02-25,302,-0.11956320636291114,-1202.0,352,0.010624861721918512,1.209483391753624,2016-06-03,0.0,663,5499.600000000006,0.5499600000000049,0.0,240,1759450.4
6,16,41,1,0.18613212669682974,0.0,7.755505279034681,0.0007755505279034676,0.0,0.31221719457013575,2398.3856711915537,1005141.9,2019-02-25,304,-0.10907428728102253,-1094.7999999999302,347,0.01000299886862162,1.2011175121232018,2016-06-03,0.0,663,5141.899999999993,0.5141899999999922,0.0,207,1590129.7000000002
4,16,31,1,0.19131945701357028,0.0,7.971644042232274,0.000797164404223227,0.0,0.33031674208144796,2491.8214177978884,1005285.2,2019-02-25,313,-0.14990859961047687,-1504.0,333,0.010324542159302485,1.1961419360234362,2016-06-03,0.0,663,5285.199999999998,0.5285199999999879,0.0,219,1652077.6
3,11,46,1,0.18244343891402476,0.0,7.601809954751131,0.0007601809954751122,0.0,0.3092006033182504,2426.4102564102564,1005040.0,2019-02-25,304,-0.1310342761863897,-1312.4000000000233,327,0.01018416625273094,1.1563708849662546,2016-06-03,0.0,663,5040.0,0.5039999999999933,0.0,205,1608710.0
1,11,36,1,0.1747402714932138,0.0,7.280844645550528,0.000728084464555052,0.0,0.29411764705882354,2326.401809954751,1004827.2,2019-02-25,309,-0.14141537581705452,-1416.4000000000233,328,0.010216370124981737,1.1040551473203803,2016-06-03,0.0,663,4827.2,0.48272000000000315,0.0,195,1542404.4
2,11,41,1,0.171033484162895,0.0,7.126395173453998,0.0007126395173453994,0.0,0.2971342383107089,2350.3957767722472,1004724.8,2019-02-25,309,-0.13836120262407903,-1385.6000000000931,329,0.010205040819524645,1.081834372380918,2016-06-03,0.0,663,4724.800000000001,0.47247999999999735,0.0,197,1558312.4
0,11,31,1,0.16406646153846247,0.0,6.836102564102566,0.0006836102564102564,0.0,0.30165912518853694,2326.2213212669685,1004532.336,2019-02-25,315,-0.15562957687349185,-1558.46399999992,330,0.010143729234887445,1.0440385688795972,2016-06-03,0.0,663,4532.336000000001,0.45323360000000257,0.0,200,1542284.736
8,21,31,1,0.15296289592760368,0.0,6.373453996983419,0.0006373453996983418,0.0,0.34992458521870284,2557.08778280543,1004225.6,2019-02-25,313,-0.15374317151339056,-1541.5999999999767,343,0.009760269309337254,1.0116229544822672,2016-06-03,0.0,663,4225.600000000007,0.42256000000000515,0.0,232,1695349.2
14,26,41,1,0.12720361990950288,0.0,5.300150829562597,0.0005300150829562598,0.0,0.3514328808446455,2560.7541478129715,1003514.0,2019-02-25,324,-0.11218433683087632,-1124.0,335,0.009604483147231398,0.854908924534919,2016-06-03,0.0,663,3514.000000000002,0.3514000000000017,0.0,233,1697780.0
15,26,46,1,0.14032217194570143,0.0,5.846757164404226,0.0005846757164404228,0.0,0.34841628959276016,2541.953544494721,1003876.4,2019-02-25,320,-0.15449755558518644,-1548.0,334,0.010622477529274331,0.8526972380840957,2016-06-03,0.0,663,3876.4000000000024,0.3876400000000002,0.0,231,1685315.2
12,26,31,1,0.12380090497737481,0.0,5.1583710407239955,0.0005158371040723999,0.0,0.39215686274509803,2871.176470588235,1003420.0,2019-02-25,322,-0.11455778617477186,-1147.1999999999534,337,0.009831414206650535,0.8128346426811396,2016-06-03,0.0,663,3420.000000000009,0.34199999999999786,0.0,260,1903590.0
13,26,36,1,0.11567782805429738,0.0,4.819909502262451,0.0004819909502262457,0.0,0.3650075414781297,2685.3031674208146,1003195.6,2019-02-25,325,-0.14459774520137159,-1448.8000000000466,334,0.009848863612576454,0.7581556600561348,2016-06-03,0.0,663,3195.600000000005,0.3195599999999965,0.0,242,1780356.0
